entity_id,entity_type,bio_type
DB00571,drug,3
DB00572,drug,4
DB00573,drug,3
DB00575,drug,3
DB00580,drug,4
DB00585,drug,3
DB00586,drug,2
DB00590,drug,0
DB00591,drug,2
DB00593,drug,3
DB00594,drug,1
DB00598,drug,3
DB00602,drug,4
DB00603,drug,0
DB00605,drug,1
DB00608,drug,3
DB00611,drug,3
DB00612,drug,2
DB00615,drug,1
DB00619,drug,2
DB00620,drug,0
DB00621,drug,2
DB00622,drug,0
DB00623,drug,4
DB00624,drug,4
DB00630,drug,2
DB00631,drug,0
DB00633,drug,3
DB00635,drug,1
DB00640,drug,2
DB00641,drug,4
DB00642,drug,2
DB00648,drug,1
DB00650,drug,4
DB00651,drug,1
DB00652,drug,2
DB00654,drug,2
DB00656,drug,0
DB00657,drug,2
DB00659,drug,1
DB00661,drug,1
DB00665,drug,0
DB00668,drug,2
DB00669,drug,4
DB00672,drug,1
DB00673,drug,2
DB00674,drug,2
DB00675,drug,2
DB00678,drug,3
DB00679,drug,3
DB00680,drug,0
DB00683,drug,0
DB00685,drug,1
DB00687,drug,1
DB00690,drug,2
DB00691,drug,4
DB00692,drug,4
DB00694,drug,3
DB00695,drug,1
DB00696,drug,1
DB00697,drug,3
DB00700,drug,0
DB00703,drug,4
DB00704,drug,2
DB00706,drug,3
DB00708,drug,1
DB00712,drug,1
DB00714,drug,4
DB00715,drug,3
DB00721,drug,4
DB00724,drug,3
DB00727,drug,3
DB00728,drug,2
DB00731,drug,4
DB00732,drug,3
DB00733,drug,4
DB00734,drug,2
DB00740,drug,1
DB00745,drug,4
DB00749,drug,3
DB00750,drug,3
DB00751,drug,2
DB00753,drug,3
DB00754,drug,4
DB00756,drug,2
DB00757,drug,3
DB00758,drug,2
DB00759,drug,1
DB00762,drug,3
DB00763,drug,2
DB00768,drug,4
DB00772,drug,2
DB00773,drug,2
DB00776,drug,0
DB00780,drug,3
DB00782,drug,3
DB00783,drug,4
DB00784,drug,0
DB00788,drug,0
DB00790,drug,3
DB00794,drug,2
DB00795,drug,2
DB00796,drug,1
DB00799,drug,3
DB00800,drug,3
DB00802,drug,0
DB00804,drug,4
DB00806,drug,3
DB00808,drug,4
DB00809,drug,2
DB00810,drug,2
DB00811,drug,2
DB00813,drug,2
DB00814,drug,3
DB00818,drug,1
DB00819,drug,3
DB00820,drug,0
DB00822,drug,3
DB00829,drug,3
DB00831,drug,1
DB00834,drug,1
DB00835,drug,0
DB00836,drug,3
DB00839,drug,3
DB00841,drug,3
DB00842,drug,4
DB00843,drug,3
DB00844,drug,4
DB00850,drug,3
DB00851,drug,4
DB00860,drug,3
DB00861,drug,4
DB00862,drug,4
DB00863,drug,3
DB00864,drug,2
DB00868,drug,3
DB00869,drug,0
DB00870,drug,2
DB00871,drug,0
DB00872,drug,2
DB00876,drug,3
DB00881,drug,1
DB00883,drug,3
DB00887,drug,3
DB00889,drug,4
DB00896,drug,3
DB00897,drug,1
DB00898,drug,2
DB00899,drug,3
DB00900,drug,3
DB00903,drug,2
DB00904,drug,3
DB00905,drug,4
DB00906,drug,1
DB00907,drug,3
DB00908,drug,0
DB00909,drug,3
DB00910,drug,4
DB00912,drug,1
DB00915,drug,4
DB00918,drug,4
DB00920,drug,4
DB00921,drug,2
DB00924,drug,4
DB00925,drug,3
DB00927,drug,3
DB00929,drug,2
DB00933,drug,2
DB00937,drug,2
DB00938,drug,0
DB00949,drug,4
DB00952,drug,1
DB00953,drug,3
DB00959,drug,3
DB00960,drug,4
DB00961,drug,2
DB00962,drug,2
DB00963,drug,1
DB00964,drug,4
DB00966,drug,2
DB00968,drug,0
DB00969,drug,0
DB00973,drug,1
DB00975,drug,4
DB00978,drug,1
DB00979,drug,2
DB00980,drug,1
DB00981,drug,2
DB00983,drug,2
DB00986,drug,4
DB00988,drug,2
DB00989,drug,4
DB00990,drug,2
DB00991,drug,3
DB00993,drug,4
DB00996,drug,2
DB00997,drug,1
DB00998,drug,3
DB00999,drug,4
DB01005,drug,1
DB01006,drug,1
DB01009,drug,1
DB01011,drug,1
DB01012,drug,3
DB01013,drug,1
DB01014,drug,0
DB01017,drug,2
DB01018,drug,2
DB01019,drug,1
DB01023,drug,4
DB01024,drug,2
DB01029,drug,3
DB01030,drug,2
DB01032,drug,1
DB01035,drug,0
DB01036,drug,3
DB01037,drug,3
DB01039,drug,1
DB01041,drug,3
DB01043,drug,0
DB01047,drug,0
DB01050,drug,0
DB01059,drug,2
DB01062,drug,3
DB01064,drug,3
DB01067,drug,2
DB01068,drug,1
DB01069,drug,3
DB01073,drug,4
DB01076,drug,1
DB01079,drug,0
DB01080,drug,3
DB01083,drug,3
DB01085,drug,0
DB01086,drug,3
DB01087,drug,0
DB01088,drug,0
DB01095,drug,4
DB01097,drug,4
DB01098,drug,0
DB01100,drug,0
DB01101,drug,2
DB01104,drug,4
DB01105,drug,1
DB01106,drug,3
DB01110,drug,2
DB01113,drug,1
DB01114,drug,2
DB01115,drug,2
DB01118,drug,1
DB01119,drug,4
DB01120,drug,4
DB01128,drug,2
DB01130,drug,4
DB01132,drug,3
DB01136,drug,4
DB01142,drug,3
DB01143,drug,3
DB01148,drug,1
DB01149,drug,0
DB01151,drug,3
DB01156,drug,1
DB01157,drug,2
DB01158,drug,2
DB01159,drug,3
DB01161,drug,3
DB01162,drug,1
DB01165,drug,0
DB01169,drug,3
DB01173,drug,3
DB01174,drug,3
DB01177,drug,3
DB01182,drug,3
DB01183,drug,3
DB01184,drug,3
DB01185,drug,0
DB01186,drug,0
DB01189,drug,1
DB01193,drug,3
DB01194,drug,0
DB01195,drug,0
DB01196,drug,4
DB01198,drug,2
DB01200,drug,3
DB01203,drug,2
DB01204,drug,0
DB01205,drug,1
DB01206,drug,3
DB01210,drug,1
DB01214,drug,2
DB01215,drug,0
DB01217,drug,3
DB01218,drug,4
DB01219,drug,4
DB01220,drug,2
DB01221,drug,1
DB01222,drug,0
DB01223,drug,1
DB01224,drug,3
DB01226,drug,3
DB01229,drug,0
DB01233,drug,1
DB01234,drug,2
DB01236,drug,2
DB01238,drug,3
DB01241,drug,3
DB01242,drug,2
DB01247,drug,2
DB01248,drug,0
DB01250,drug,0
DB01254,drug,4
DB01258,drug,3
DB01260,drug,2
DB01261,drug,0
DB01268,drug,3
DB01273,drug,1
DB01275,drug,3
DB01280,drug,4
DB01291,drug,3
DB01320,drug,4
DB01324,drug,2
DB01327,drug,4
DB01337,drug,3
DB01340,drug,2
DB01356,drug,3
DB01364,drug,2
DB01367,drug,3
DB01378,drug,1
DB01393,drug,4
DB01394,drug,3
DB01400,drug,3
DB01406,drug,3
DB01409,drug,4
DB01410,drug,2
DB01427,drug,3
DB01558,drug,1
DB01577,drug,2
DB01591,drug,2
DB01595,drug,0
DB01611,drug,1
DB01612,drug,0
DB01618,drug,1
DB01623,drug,1
DB01656,drug,0
DB04839,drug,1
DB04844,drug,4
DB04845,drug,2
DB04861,drug,2
DB04896,drug,0
DB05246,drug,2
DB06201,drug,0
DB06204,drug,4
DB06209,drug,2
DB06212,drug,4
DB06216,drug,2
DB06228,drug,3
DB06274,drug,1
DB06287,drug,0
DB06335,drug,3
DB06695,drug,0
DB06710,drug,0
DB06711,drug,3
DB06800,drug,3
DB08860,drug,2
O00180,target,1
O00305,target,2
O00459,target,0
O00555,target,1
O14649,target,3
O14732,target,2
O14764,target,4
O14788,target,2
O14920,target,1
O15111,target,1
O15399,target,3
O15530,target,3
O15554,target,0
O43451,target,3
O43497,target,1
O43525,target,2
O43526,target,1
O43570,target,4
O60391,target,4
O60494,target,4
O60840,target,1
O60882,target,3
O75469,target,2
O75899,target,1
O76074,target,2
O95180,target,1
O95237,target,4
O95665,target,0
P00326,target,0
P00352,target,2
P00367,target,4
P00374,target,4
P00491,target,1
P00492,target,1
P00519,target,1
P00533,target,3
P00734,target,3
P00742,target,3
P00747,target,4
P00749,target,4
P00750,target,4
P00797,target,3
P00813,target,0
P00918,target,2
P01133,target,4
P01189,target,2
P01375,target,0
P01579,target,3
P01584,target,1
P02585,target,1
P02671,target,4
P02675,target,3
P02679,target,3
P02708,target,4
P03372,target,2
P03886,target,4
P04035,target,1
P04049,target,1
P04083,target,1
P04150,target,0
P04156,target,4
P04271,target,4
P04629,target,1
P04746,target,4
P04818,target,1
P05023,target,2
P05091,target,1
P05093,target,4
P05107,target,4
P05108,target,1
P05121,target,3
P05164,target,0
P05412,target,2
P06239,target,2
P06241,target,1
P06276,target,3
P06401,target,2
P07098,target,4
P07202,target,4
P07327,target,0
P07333,target,4
P07437,target,2
P07451,target,2
P07510,target,4
P07550,target,0
P07900,target,0
P07947,target,2
P07949,target,3
P08100,target,2
P08172,target,0
P08173,target,0
P08174,target,3
P08235,target,2
P08588,target,1
P08729,target,0
P08908,target,0
P08912,target,0
P08913,target,2
P09038,target,1
P09172,target,1
P09210,target,1
P09211,target,2
P09455,target,2
P09619,target,3
P09622,target,0
P09884,target,2
P09917,target,1
P10109,target,2
P10253,target,3
P10275,target,1
P10276,target,1
P10415,target,2
P10696,target,4
P10721,target,4
P10745,target,3
P10826,target,1
P11137,target,2
P11229,target,0
P11230,target,4
P11387,target,2
P11388,target,2
P11473,target,1
P11474,target,1
P11511,target,0
P12268,target,2
P12271,target,1
P12821,target,3
P12931,target,1
P13500,target,4
P13569,target,2
P13631,target,4
P13945,target,0
P14324,target,3
P14410,target,3
P14416,target,0
P14555,target,4
P14625,target,4
P14679,target,4
P14867,target,3
P15056,target,0
P15121,target,1
P15144,target,3
P15382,target,2
P15502,target,3
P15538,target,2
P15692,target,2
P16066,target,3
P16083,target,1
P16220,target,0
P16233,target,4
P16234,target,3
P16471,target,3
P16860,target,3
P17302,target,1
P17405,target,0
P17787,target,4
P17948,target,3
P18089,target,3
P18505,target,3
P18507,target,1
P18545,target,2
P18825,target,4
P19320,target,3
P19634,target,3
P19793,target,2
P19801,target,4
P19838,target,1
P20309,target,2
P20618,target,0
P20701,target,4
P21397,target,3
P21554,target,2
P21589,target,3
P21728,target,0
P21802,target,4
P21817,target,1
P21917,target,0
P21918,target,0
P21964,target,3
P22033,target,4
P22102,target,1
P22303,target,3
P22413,target,2
P22748,target,1
P22888,target,3
P23141,target,0
P23219,target,3
P23280,target,4
P23297,target,2
P23416,target,4
P23469,target,4
P23921,target,0
P23975,target,1
P24046,target,4
P24385,target,1
P24530,target,3
P25021,target,0
P25024,target,0
P25100,target,1
P25101,target,4
P25103,target,0
P26358,target,4
P26447,target,2
P27169,target,4
P27338,target,4
P27361,target,1
P27487,target,3
P27707,target,2
P27815,target,1
P27986,target,1
P28074,target,1
P28221,target,0
P28222,target,2
P28223,target,2
P28335,target,0
P28472,target,3
P28476,target,4
P28482,target,1
P28702,target,2
P29034,target,4
P29074,target,1
P29218,target,2
P29274,target,3
P29275,target,0
P29317,target,3
P29466,target,1
P29474,target,3
P29972,target,3
P30085,target,2
P30518,target,2
P30531,target,1
P30532,target,3
P30536,target,4
P30542,target,3
P30556,target,0
P30926,target,4
P30939,target,0
P30968,target,0
P31350,target,1
P31645,target,0
P31749,target,1
P31939,target,1
P32297,target,3
P33151,target,3
P34903,target,3
P34969,target,2
P34972,target,0
P34995,target,0
P35219,target,1
P35228,target,2
P35348,target,0
P35354,target,4
P35368,target,2
P35372,target,1
P35462,target,0
P35499,target,4
P35869,target,1
P35916,target,3
P35968,target,3
P36544,target,4
P36888,target,3
P37088,target,2
P37231,target,1
P37288,target,1
P38606,target,1
P39086,target,1
P41143,target,0
P41145,target,1
P41180,target,4
P41594,target,4
P41595,target,1
P42261,target,3
P42262,target,3
P42263,target,3
P42330,target,3
P42345,target,1
P42574,target,2
P42684,target,1
P43088,target,0
P43115,target,2
P43116,target,0
P43119,target,0
P43681,target,3
P46098,target,4
P47870,target,3
P47989,target,0
P48039,target,0
P48048,target,2
P48051,target,1
P48167,target,4
P48169,target,3
P48443,target,2
P48549,target,2
P49286,target,0
P49327,target,1
P49721,target,3
P49841,target,1
P49902,target,2
P50406,target,0
P51168,target,1
P51170,target,2
P51172,target,2
P51692,target,1
P51787,target,0
P51843,target,0
P52209,target,4
P54284,target,1
P54750,target,2
P55011,target,0
P55017,target,1
P56282,target,4
P59768,target,2
P62158,target,1
P62508,target,4
P62942,target,2
P63316,target,1
P68366,target,2
P68371,target,2
P69905,target,2
P78348,target,0
P78559,target,3
P80404,target,4
P80511,target,4
P99999,target,2
Q00975,target,2
Q01668,target,1
Q01959,target,4
Q02880,target,4
Q03181,target,2
Q04760,target,4
Q04844,target,4
Q05586,target,4
Q05940,target,0
Q07001,target,4
Q07343,target,1
Q07699,target,3
Q07864,target,1
Q07869,target,2
Q08289,target,1
Q08345,target,4
Q08499,target,1
Q09428,target,0
Q09470,target,2
Q12791,target,1
Q12809,target,3
Q13002,target,3
Q13200,target,2
Q13224,target,3
Q13255,target,4
Q13332,target,3
Q13509,target,2
Q13621,target,1
Q13639,target,3
Q13698,target,2
Q13936,target,1
Q13956,target,2
Q14181,target,3
Q14289,target,0
Q14416,target,4
Q14500,target,1
Q14524,target,2
Q14654,target,4
Q14832,target,4
Q14957,target,4
Q15822,target,3
Q16515,target,0
Q16558,target,1
Q16620,target,3
Q16739,target,3
Q16790,target,3
Q16853,target,3
Q16881,target,4
Q4U2R8,target,1
Q71U36,target,2
Q7LG56,target,2
Q8IVH4,target,0
Q8IWT1,target,3
Q8N1C3,target,1
Q8TCU5,target,3
Q92569,target,1
Q92731,target,1
Q92769,target,2
Q92781,target,4
Q96EY8,target,1
Q96RD7,target,0
Q99250,target,1
Q99460,target,1
Q99519,target,1
Q99584,target,2
Q99707,target,1
Q99720,target,3
Q99808,target,3
Q99835,target,3
Q99928,target,4
Q9BYF1,target,4
Q9H169,target,2
Q9H244,target,0
Q9H2S1,target,2
Q9H3N8,target,1
Q9H4B7,target,2
Q9NPC2,target,3
Q9NR33,target,1
Q9NR96,target,3
Q9NR97,target,3
Q9NRF9,target,0
Q9NSA0,target,3
Q9NY46,target,1
Q9NY72,target,3
Q9NYK1,target,3
Q9NYX4,target,1
Q9NZV8,target,3
Q9UBK8,target,1
Q9UBS5,target,4
Q9UK17,target,3
Q9UKV0,target,1
Q9UP95,target,2
Q9UPY5,target,2
Q9Y233,target,2
Q9Y2I1,target,1
Q9Y478,target,2
Q9Y5Y9,target,1
