head,relation,tail,label
ic_D139,interacts,T153,1
ic_D168,interacts,T132,1
ic_D176,interacts,T177,1
e_D261,interacts,T583,1
e_D161,interacts,T519,1
ic_D28,interacts,T147,1
ic_D176,interacts,T95,1
e_D54,interacts,T34,1
gpcr_D222,interacts,T55,1
ic_D14,interacts,T93,1
e_D430,interacts,T186,1
e_D220,interacts,T107,1
e_D225,interacts,T334,1
ic_D54,interacts,T121,1
e_D54,interacts,T460,1
ic_D25,interacts,T112,1
ic_D176,interacts,T82,1
e_D305,interacts,T409,1
ic_D126,interacts,T109,1
ic_D55,interacts,T26,1
e_D38,interacts,T365,1
e_D372,interacts,T343,1
nr_D6,interacts,T18,1
e_D30,interacts,T519,1
e_D135,interacts,T91,1
e_D42,interacts,T212,1
e_D260,interacts,T87,1
e_D99,interacts,T409,1
e_D54,interacts,T626,1
ic_D66,interacts,T31,1
e_D12,interacts,T597,1
ic_D189,interacts,T66,1
gpcr_D79,interacts,T21,1
e_D1,interacts,T279,1
e_D27,interacts,T213,1
e_D409,interacts,T115,1
e_D426,interacts,T26,1
e_D412,interacts,T90,1
e_D261,interacts,T644,1
e_D263,interacts,T519,1
e_D411,interacts,T252,1
e_D108,interacts,T101,1
e_D196,interacts,T85,1
ic_D176,interacts,T174,1
ic_D100,interacts,T197,1
e_D411,interacts,T224,1
ic_D174,interacts,T105,1
ic_D83,interacts,T75,1
ic_D88,interacts,T75,1
e_D8,interacts,T377,1
e_D276,interacts,T640,1
nr_D1,interacts,T17,1
ic_D3,interacts,T63,1
gpcr_D16,interacts,T23,1
e_D29,interacts,T71,1
e_D164,interacts,T93,1
ic_D26,interacts,T188,1
e_D164,interacts,T91,1
e_D50,interacts,T307,1
e_D111,interacts,T409,1
e_D243,interacts,T608,1
ic_D43,interacts,T26,1
e_D353,interacts,T401,1
e_D108,interacts,T94,1
ic_D101,interacts,T197,1
e_D29,interacts,T438,1
e_D101,interacts,T95,1
gpcr_D132,interacts,T16,1
e_D392,interacts,T497,1
ic_D160,interacts,T147,1
ic_D152,interacts,T146,1
ic_D26,interacts,T175,1
ic_D167,interacts,T8,1
gpcr_D53,interacts,T29,1
ic_D148,interacts,T146,1
e_D26,interacts,T168,1
ic_D65,interacts,T51,1
ic_D78,interacts,T12,1
gpcr_D22,interacts,T17,1
e_D262,interacts,T160,1
e_D317,interacts,T405,1
e_D430,interacts,T161,1
gpcr_D9,interacts,T19,1
gpcr_D144,interacts,T34,1
e_D85,interacts,T256,1
ic_D31,interacts,T163,1
e_D276,interacts,T393,1
gpcr_D173,interacts,T6,1
e_D254,interacts,T212,1
ic_D46,interacts,T188,1
ic_D144,interacts,T3,1
gpcr_D77,interacts,T19,1
ic_D81,interacts,T175,1
e_D105,interacts,T89,1
ic_D10,interacts,T127,1
ic_D176,interacts,T125,1
gpcr_D134,interacts,T23,1
e_D411,interacts,T87,1
e_D371,interacts,T640,1
e_D29,interacts,T386,1
ic_D14,interacts,T104,1
ic_D61,interacts,T177,1
e_D71,interacts,T399,1
gpcr_D115,interacts,T18,1
e_D260,interacts,T81,1
e_D2,interacts,T232,1
e_D29,interacts,T134,1
e_D131,interacts,T417,1
e_D42,interacts,T320,1
e_D370,interacts,T359,1
e_D260,interacts,T91,1
ic_D144,interacts,T181,1
ic_D94,interacts,T190,1
e_D50,interacts,T24,1
e_D99,interacts,T407,1
ic_D61,interacts,T175,1
e_D246,interacts,T618,1
e_D16,interacts,T427,1
ic_D121,interacts,T151,1
e_D2,interacts,T297,1
e_D353,interacts,T395,1
e_D273,interacts,T640,1
ic_D14,interacts,T25,1
ic_D195,interacts,T17,1
e_D434,interacts,T167,1
e_D142,interacts,T398,1
e_D108,interacts,T392,1
e_D6,interacts,T570,1
e_D102,interacts,T115,1
ic_D3,interacts,T18,1
e_D14,interacts,T15,1
e_D111,interacts,T233,1
e_D64,interacts,T32,1
ic_D81,interacts,T72,1
e_D416,interacts,T349,1
e_D218,interacts,T146,1
ic_D68,interacts,T37,1
nr_D35,interacts,T23,1
ic_D14,interacts,T137,1
e_D353,interacts,T408,1
e_D142,interacts,T241,1
e_D41,interacts,T97,1
e_D149,interacts,T550,1
ic_D68,interacts,T33,1
e_D276,interacts,T27,1
e_D273,interacts,T405,1
ic_D91,interacts,T129,1
e_D265,interacts,T520,1
gpcr_D143,interacts,T20,1
gpcr_D187,interacts,T49,1
e_D370,interacts,T284,1
e_D39,interacts,T211,1
e_D262,interacts,T587,1
e_D244,interacts,T376,1
e_D69,interacts,T102,1
gpcr_D76,interacts,T20,1
e_D172,interacts,T115,1
e_D149,interacts,T86,1
ic_D176,interacts,T43,1
ic_D64,interacts,T37,1
e_D273,interacts,T401,1
gpcr_D22,interacts,T48,1
e_D187,interacts,T233,1
e_D54,interacts,T135,1
ic_D78,interacts,T139,1
e_D233,interacts,T380,1
ic_D47,interacts,T191,1
e_D301,interacts,T159,1
gpcr_D215,interacts,T73,1
ic_D82,interacts,T177,1
e_D370,interacts,T358,1
ic_D121,interacts,T150,1
ic_D61,interacts,T188,1
e_D142,interacts,T633,1
ic_D149,interacts,T108,1
ic_D176,interacts,T186,1
e_D345,interacts,T325,1
gpcr_D199,interacts,T6,1
ic_D147,interacts,T155,1
nr_D6,interacts,T16,1
e_D101,interacts,T657,1
e_D260,interacts,T550,1
e_D311,interacts,T47,1
ic_D53,interacts,T14,1
nr_D45,interacts,T3,1
gpcr_D158,interacts,T21,1
e_D316,interacts,T582,1
ic_D64,interacts,T39,1
e_D369,interacts,T331,1
e_D294,interacts,T644,1
ic_D174,interacts,T73,1
e_D304,interacts,T640,1
gpcr_D59,interacts,T57,1
e_D131,interacts,T54,1
e_D142,interacts,T91,1
e_D262,interacts,T575,1
e_D233,interacts,T106,1
ic_D14,interacts,T108,1
e_D8,interacts,T378,1
ic_D47,interacts,T31,1
ic_D66,interacts,T27,1
e_D353,interacts,T376,1
gpcr_D67,interacts,T14,1
gpcr_D164,interacts,T16,1
e_D179,interacts,T39,1
e_D149,interacts,T104,1
ic_D20,interacts,T177,1
e_D108,interacts,T635,1
ic_D64,interacts,T28,1
e_D246,interacts,T654,1
ic_D115,interacts,T147,1
e_D158,interacts,T585,1
e_D246,interacts,T422,1
ic_D145,interacts,T146,1
ic_D20,interacts,T174,1
ic_D49,interacts,T151,1
e_D245,interacts,T589,1
e_D338,interacts,T604,1
ic_D119,interacts,T8,1
ic_D36,interacts,T163,1
e_D366,interacts,T502,1
e_D131,interacts,T433,1
ic_D27,interacts,T89,1
e_D378,interacts,T241,1
e_D305,interacts,T396,1
e_D372,interacts,T573,1
e_D339,interacts,T88,1
e_D50,interacts,T206,1
ic_D15,interacts,T159,1
e_D357,interacts,T532,1
gpcr_D43,interacts,T22,1
e_D140,interacts,T610,1
ic_D14,interacts,T182,1
e_D378,interacts,T319,1
e_D432,interacts,T331,1
ic_D72,interacts,T146,1
e_D184,interacts,T604,1
e_D29,interacts,T473,1
e_D301,interacts,T186,1
gpcr_D20,interacts,T5,1
ic_D176,interacts,T200,1
e_D114,interacts,T415,1
e_D90,interacts,T520,1
gpcr_D7,interacts,T63,1
e_D54,interacts,T38,1
e_D218,interacts,T92,1
ic_D111,interacts,T149,1
e_D111,interacts,T487,1
e_D105,interacts,T106,1
e_D370,interacts,T294,1
gpcr_D2,interacts,T25,1
ic_D164,interacts,T8,1
e_D1,interacts,T168,1
ic_D69,interacts,T38,1
gpcr_D67,interacts,T60,1
e_D270,interacts,T222,1
gpcr_D49,interacts,T54,1
e_D74,interacts,T90,1
e_D378,interacts,T94,1
e_D360,interacts,T173,1
e_D233,interacts,T86,1
e_D311,interacts,T583,1
e_D233,interacts,T89,1
e_D238,interacts,T409,1
e_D50,interacts,T78,1
ic_D61,interacts,T198,1
e_D325,interacts,T582,1
e_D93,interacts,T604,1
e_D75,interacts,T164,1
e_D99,interacts,T400,1
e_D29,interacts,T479,1
ic_D6,interacts,T29,1
e_D274,interacts,T405,1
e_D140,interacts,T612,1
ic_D176,interacts,T70,1
ic_D144,interacts,T180,1
e_D9,interacts,T262,1
e_D206,interacts,T89,1
e_D413,interacts,T91,1
ic_D14,interacts,T51,1
gpcr_D109,interacts,T18,1
e_D433,interacts,T634,1
ic_D176,interacts,T130,1
e_D274,interacts,T401,1
e_D117,interacts,T102,1
e_D246,interacts,T548,1
gpcr_D59,interacts,T56,1
ic_D174,interacts,T153,1
ic_D47,interacts,T35,1
ic_D20,interacts,T43,1
e_D14,interacts,T232,1
ic_D93,interacts,T177,1
e_D165,interacts,T122,1
e_D233,interacts,T91,1
e_D82,interacts,T348,1
gpcr_D22,interacts,T58,1
ic_D26,interacts,T181,1
e_D70,interacts,T404,1
e_D430,interacts,T160,1
e_D276,interacts,T398,1
e_D105,interacts,T91,1
e_D301,interacts,T522,1
e_D3,interacts,T234,1
e_D378,interacts,T124,1
ic_D91,interacts,T75,1
gpcr_D161,interacts,T19,1
e_D317,interacts,T396,1
e_D69,interacts,T103,1
e_D105,interacts,T88,1
gpcr_D143,interacts,T45,1
e_D262,interacts,T505,1
e_D54,interacts,T472,1
e_D427,interacts,T604,1
e_D28,interacts,T653,1
ic_D66,interacts,T33,1
e_D366,interacts,T499,1
e_D108,interacts,T93,1
ic_D47,interacts,T33,1
e_D142,interacts,T90,1
ic_D2,interacts,T162,1
gpcr_D206,interacts,T42,1
gpcr_D58,interacts,T20,1
ic_D14,interacts,T103,1
gpcr_D153,interacts,T47,1
e_D139,interacts,T612,1
e_D91,interacts,T552,1
ic_D20,interacts,T176,1
ic_D14,interacts,T167,1
e_D214,interacts,T347,1
ic_D115,interacts,T151,1
e_D16,interacts,T249,1
e_D306,interacts,T407,1
e_D355,interacts,T582,1
ic_D206,interacts,T10,1
ic_D205,interacts,T132,1
gpcr_D133,interacts,T23,1
e_D358,interacts,T408,1
ic_D92,interacts,T45,1
e_D16,interacts,T426,1
e_D392,interacts,T493,1
gpcr_D176,interacts,T22,1
e_D260,interacts,T89,1
e_D370,interacts,T303,1
e_D27,interacts,T289,1
e_D204,interacts,T520,1
ic_D38,interacts,T176,1
e_D69,interacts,T28,1
e_D358,interacts,T233,1
e_D6,interacts,T576,1
gpcr_D121,interacts,T52,1
ic_D205,interacts,T139,1
ic_D47,interacts,T9,1
e_D142,interacts,T146,1
ic_D115,interacts,T155,1
e_D29,interacts,T661,1
e_D85,interacts,T237,1
ic_D84,interacts,T173,1
e_D131,interacts,T388,1
nr_D41,interacts,T2,1
gpcr_D114,interacts,T16,1
e_D16,interacts,T258,1
e_D273,interacts,T398,1
ic_D191,interacts,T139,1
gpcr_D39,interacts,T48,1
e_D390,interacts,T558,1
e_D370,interacts,T18,1
e_D285,interacts,T502,1
e_D70,interacts,T405,1
e_D233,interacts,T647,1
ic_D168,interacts,T9,1
ic_D57,interacts,T49,1
e_D101,interacts,T83,1
ic_D14,interacts,T114,1
e_D117,interacts,T241,1
e_D244,interacts,T399,1
e_D111,interacts,T401,1
gpcr_D190,interacts,T26,1
e_D430,interacts,T410,1
ic_D176,interacts,T129,1
ic_D104,interacts,T26,1
e_D101,interacts,T110,1
e_D432,interacts,T160,1
ic_D143,interacts,T155,1
ic_D176,interacts,T106,1
e_D192,interacts,T119,1
ic_D161,interacts,T156,1
e_D75,interacts,T627,1
ic_D53,interacts,T191,1
e_D431,interacts,T534,1
ic_D58,interacts,T147,1
ic_D209,interacts,T26,1
e_D309,interacts,T118,1
ic_D14,interacts,T1,1
e_D41,interacts,T93,1
gpcr_D126,interacts,T25,1
nr_D33,interacts,T24,1
e_D34,interacts,T519,1
e_D378,interacts,T85,1
e_D69,interacts,T392,1
e_D116,interacts,T271,1
e_D301,interacts,T322,1
ic_D206,interacts,T8,1
gpcr_D49,interacts,T57,1
e_D76,interacts,T97,1
e_D372,interacts,T159,1
e_D69,interacts,T96,1
gpcr_D59,interacts,T50,1
e_D372,interacts,T200,1
ic_D143,interacts,T153,1
e_D108,interacts,T518,1
ic_D66,interacts,T35,1
ic_D192,interacts,T8,1
ic_D196,interacts,T150,1
gpcr_D80,interacts,T29,1
e_D39,interacts,T519,1
e_D8,interacts,T375,1
e_D420,interacts,T195,1
e_D258,interacts,T351,1
e_D362,interacts,T5,1
ic_D47,interacts,T34,1
gpcr_D169,interacts,T24,1
gpcr_D39,interacts,T49,1
ic_D89,interacts,T150,1
e_D16,interacts,T546,1
e_D105,interacts,T99,1
e_D233,interacts,T92,1
e_D395,interacts,T533,1
gpcr_D102,interacts,T38,1
gpcr_D173,interacts,T54,1
ic_D70,interacts,T148,1
e_D368,interacts,T404,1
ic_D100,interacts,T21,1
e_D50,interacts,T166,1
e_D280,interacts,T519,1
e_D339,interacts,T83,1
e_D111,interacts,T404,1
nr_D40,interacts,T9,1
ic_D194,interacts,T70,1
e_D427,interacts,T611,1
ic_D14,interacts,T80,1
ic_D49,interacts,T177,1
e_D50,interacts,T169,1
e_D164,interacts,T90,1
e_D188,interacts,T604,1
ic_D176,interacts,T116,1
ic_D20,interacts,T158,1
e_D378,interacts,T518,1
ic_D176,interacts,T198,1
ic_D72,interacts,T177,1
ic_D176,interacts,T101,1
e_D182,interacts,T611,1
e_D200,interacts,T334,1
e_D300,interacts,T520,1
e_D370,interacts,T185,1
e_D285,interacts,T498,1
e_D108,interacts,T85,1
e_D411,interacts,T98,1
e_D111,interacts,T198,1
e_D262,interacts,T216,1
ic_D206,interacts,T9,1
e_D24,interacts,T642,1
e_D142,interacts,T400,1
