drug_id,target_id,interaction,cluster_id
DB00246,P08912,1,2
DB00246,P08913,1,5
DB00246,P08908,1,10
DB00246,P46098,1,8
DB00246,P18825,1,11
DB00246,P21917,1,10
DB00246,P08173,1,13
DB00246,P28223,1,1
DB00246,P35348,1,12
DB00246,P28335,1,7
DB00246,P08172,1,9
DB00246,P18089,1,5
DB00246,P35368,1,15
DB00246,P35462,1,10
DB00246,P34969,1,13
DB00246,P28221,1,10
DB00246,P14416,1,2
DB00246,P28222,1,13
DB00246,P50406,1,12
DB00247,P08908,1,10
DB00247,P41595,1,13
DB00247,P28223,1,1
DB00247,P28335,1,7
DB00247,P34969,1,13
DB00248,P21728,1,10
DB00248,P21918,1,8
DB00248,P08913,1,5
DB00248,P08908,1,10
DB00248,P18825,1,11
DB00248,P21917,1,10
DB00248,P41595,1,13
DB00248,P28223,1,1
DB00248,P28335,1,7
DB00248,P18089,1,5
DB00248,P35462,1,10
DB00248,P34969,1,13
DB00248,P28221,1,10
DB00248,P14416,1,2
DB00248,P28222,1,13
DB00252,Q14524,1,13
DB00257,O15554,1,10
DB00264,P08588,1,3
DB00264,P07550,1,10
DB00268,P21728,1,10
DB00268,P21918,1,8
DB00268,P08913,1,5
DB00268,P08908,1,10
DB00268,P18825,1,11
DB00268,P21917,1,10
DB00268,P41595,1,13
DB00268,P28223,1,1
DB00268,P28335,1,7
DB00268,P18089,1,5
DB00268,P35462,1,10
DB00268,P28221,1,10
DB00268,P14416,1,2
DB00268,P28222,1,13
DB00273,P00918,1,2
DB00273,P39086,1,8
DB00273,P22748,1,11
DB00273,P14867,1,14
DB00276,Q12809,1,3
DB00276,P11388,1,13
DB00277,P30542,1,0
DB00277,O76074,1,2
DB00277,P29275,1,5
DB00277,Q07343,1,3
DB00277,P29274,1,4
DB00277,P27815,1,11
DB00278,P00734,1,3
DB00280,P20309,1,8
DB00280,P11229,1,4
DB00280,Q14524,1,13
DB00280,P08172,1,9
DB00280,Q9NZV8,1,0
DB00280,Q9UK17,1,8
DB00281,Q9Y5Y9,1,11
DB00281,Q14524,1,13
DB00281,P00533,1,0
DB00282,P14324,1,8
DB00284,O43451,1,5
DB00284,P10253,1,5
DB00284,P14410,1,5
DB00284,P04746,1,11
DB00285,P23975,1,13
DB00285,Q01959,1,11
DB00285,P31645,1,5
DB00287,P43088,1,8
DB00288,P04083,1,10
DB00288,P04150,1,10
DB00289,P23975,1,13
DB00289,P31645,1,5
DB00292,P18089,1,5
DB00292,P14867,1,14
DB00293,P04818,1,11
DB00295,P41143,1,10
DB00295,P41145,1,8
DB00295,P35372,1,11
DB00296,Q9Y5Y9,1,11
DB00297,P34995,1,10
DB00297,Q9Y5Y9,1,11
DB00302,P00747,1,8
DB00307,P28702,1,0
DB00307,P19793,1,5
DB00307,P48443,1,0
DB00308,Q12809,1,3
DB00308,O00180,1,13
DB00308,Q13936,1,3
DB00308,Q14654,1,0
DB00310,Q13621,1,8
DB00312,P48169,1,13
DB00312,P34903,1,6
DB00312,P14867,1,14
DB00312,Q13002,1,0
DB00312,P42262,1,0
DB00312,P43681,1,6
DB00312,P36544,1,4
DB00313,P80404,1,11
DB00313,Q9UKV0,1,8
DB00315,P08908,1,10
DB00315,P30939,1,10
DB00315,P28221,1,10
DB00315,P28222,1,13
DB00316,P23219,1,6
DB00316,P35354,1,11
DB00317,P00533,1,0
DB00318,P41143,1,10
DB00318,P41145,1,8
DB00318,P35372,1,11
DB00320,P08913,1,5
DB00320,P41595,1,13
DB00320,P28221,1,10
DB00320,P28222,1,13
DB00321,P20309,1,8
DB00321,P11229,1,4
DB00321,P08912,1,2
DB00321,P08913,1,5
DB00321,P08908,1,10
DB00321,P08173,1,13
DB00321,P41143,1,10
DB00321,P28223,1,1
DB00321,P23975,1,13
DB00321,P35348,1,12
DB00321,P08172,1,9
DB00321,P41145,1,8
DB00321,P25100,1,3
DB00321,P31645,1,5
DB00321,Q09470,1,13
DB00321,O43526,1,13
DB00321,P04629,1,10
DB00321,Q9NZV8,1,6
DB00321,Q9UK17,1,8
DB00321,Q16620,1,6
DB00323,P21964,1,0
DB00324,P04150,1,10
DB00327,P41143,1,10
DB00327,P41145,1,8
DB00327,P35372,1,11
DB00328,P23219,1,6
DB00328,P37231,1,8
DB00328,P35354,1,11
DB00328,Q04760,1,10
DB00328,P14555,1,3
DB00331,Q9Y478,1,13
DB00333,P41143,1,10
DB00333,Q8TCU5,1,6
DB00333,P35372,1,11
DB00334,P21728,1,10
DB00334,P20309,1,8
DB00334,P11229,1,4
DB00334,P21918,1,8
DB00334,P08912,1,2
DB00334,P08913,1,5
DB00334,P08908,1,10
DB00334,P46098,1,8
DB00334,P18825,1,11
DB00334,P21917,1,10
DB00334,P08173,1,13
DB00334,P28223,1,1
DB00334,P35348,1,12
DB00334,P28335,1,7
DB00334,P08172,1,9
DB00334,P18089,1,5
DB00334,P35368,1,15
DB00334,P35462,1,10
DB00334,P34969,1,13
DB00334,P28221,1,10
DB00334,P14416,1,2
DB00334,P28222,1,13
DB00334,P50406,1,12
DB00335,P08588,1,3
DB00337,P62942,1,11
DB00337,P42345,1,6
DB00344,P23975,1,13
DB00344,P31645,1,5
DB00346,P35348,1,12
DB00346,P35368,1,15
DB00346,P25100,1,3
DB00349,P24046,1,0
DB00349,P48169,1,13
DB00349,P34903,1,6
DB00349,P14867,1,14
DB00349,P18505,1,6
DB00349,P28472,1,6
DB00349,P47870,1,5
DB00349,P18507,1,5
DB00349,Q8N1C3,1,5
DB00349,Q99928,1,0
DB00349,P28476,1,11
DB00349,O14764,1,0
DB00350,P23219,1,6
DB00350,P48048,1,8
DB00351,P06401,1,5
DB00351,P04150,1,10
DB00356,Q12791,1,5
DB00357,P11511,1,5
DB00357,P05108,1,13
DB00358,P69905,1,10
DB00358,P29274,1,4
DB00361,P07437,1,10
DB00363,P21728,1,10
DB00363,P20309,1,8
DB00363,P11229,1,4
DB00363,Q9H3N8,1,8
DB00363,P08912,1,2
DB00363,P08913,1,5
DB00363,P08908,1,10
DB00363,P46098,1,8
DB00363,P18825,1,11
DB00363,P21917,1,10
DB00363,P08173,1,13
DB00363,P28223,1,1
DB00363,P35348,1,12
DB00363,P28335,1,7
DB00363,P08172,1,9
DB00363,P18089,1,5
DB00363,P35368,1,15
DB00363,P35462,1,10
DB00363,P34969,1,13
DB00363,P28221,1,10
DB00363,Q9NYX4,1,13
DB00363,P14416,1,2
DB00363,P28222,1,13
DB00363,P50406,1,10
DB00364,P02671,1,11
DB00364,P01133,1,11
DB00364,P09038,1,8
DB00364,P02675,1,0
DB00364,P02679,1,6
DB00367,P03372,1,13
DB00367,P10275,1,3
DB00367,P06401,1,5
DB00368,P08588,1,3
DB00368,P08913,1,5
DB00368,P18825,1,11
DB00368,P35348,1,12
DB00368,P18089,1,5
DB00368,P35368,1,15
DB00368,P07550,1,10
DB00368,P25100,1,3
DB00368,P13945,1,10
DB00370,P08913,1,5
DB00370,P46098,1,8
DB00370,P28223,1,1
DB00370,P28335,1,7
DB00370,P41145,1,8
DB00371,P48169,1,13
DB00371,P34903,1,6
DB00371,P14867,1,14
DB00373,P08588,1,3
DB00373,P07550,1,10
DB00374,Q9H244,1,10
DB00374,P43119,1,10
DB00374,Q03181,1,10
DB00376,P20309,1,8
DB00376,P11229,1,4
DB00376,P08912,1,2
DB00376,P08173,1,13
DB00376,P08172,1,9
DB00377,P46098,1,8
DB00379,Q14524,1,13
DB00379,P35869,1,1
DB00381,Q13936,1,3
DB00381,Q00975,1,5
DB00381,Q08289,1,5
DB00381,Q13698,1,13
DB00381,Q01668,1,11
DB00382,P22303,1,8
DB00382,P06276,1,8
DB00384,P51168,1,3
DB00384,P37088,1,11
DB00384,P51172,1,13
DB00384,P51170,1,13
DB00388,P35348,1,12
DB00388,P35368,1,15
DB00388,P25100,1,3
DB00390,P05023,1,13
DB00393,Q13936,1,3
DB00393,P08235,1,8
DB00393,Q08289,1,5
DB00393,Q13698,1,13
DB00393,O00305,1,13
DB00393,O60840,1,13
DB00393,P54284,1,13
DB00393,Q01668,1,11
DB00393,P35869,1,1
DB00396,P03372,1,13
DB00396,P05093,1,11
DB00396,P06401,1,5
DB00396,P08235,1,8
DB00398,P35916,1,0
DB00398,P04049,1,0
DB00398,P36888,1,5
DB00398,P09619,1,8
DB00398,P35968,1,0
DB00398,P10721,1,10
DB00398,P15056,1,5
DB00401,Q13936,1,3
DB00401,Q08289,1,6
DB00401,Q13698,1,13
DB00401,Q01668,1,11
DB00404,P24046,1,0
DB00404,P48169,1,13
DB00404,P34903,1,6
DB00404,P30536,1,11
DB00404,P14867,1,14
DB00404,P18505,1,6
DB00404,P28472,1,6
DB00404,P47870,1,5
DB00404,P18507,1,5
DB00404,Q8N1C3,1,5
DB00404,Q99928,1,0
DB00404,P28476,1,11
DB00404,O14764,1,0
DB00408,P21728,1,10
DB00408,P28223,1,1
DB00408,P28335,1,7
DB00408,P14416,1,2
DB00411,P11229,1,4
DB00411,P08172,1,9
DB00411,Q15822,1,0
DB00412,P37231,1,8
DB00413,P21728,1,10
DB00413,P21918,1,8
DB00413,P08913,1,5
DB00413,P08908,1,10
DB00413,P18825,1,11
DB00413,P21917,1,10
DB00413,P41595,1,13
DB00413,P28223,1,1
DB00413,P28335,1,7
DB00413,P18089,1,5
DB00413,P35462,1,10
DB00413,P28221,1,10
DB00413,P14416,1,2
DB00413,P28222,1,13
DB00418,P48169,1,13
DB00418,P34903,1,6
DB00418,P14867,1,14
DB00418,Q13002,1,0
DB00418,P42262,1,0
DB00418,P43681,1,6
DB00418,P36544,1,4
DB00419,Q16739,1,5
DB00421,P10275,1,3
DB00421,P08235,1,8
DB00422,P23975,1,13
DB00422,Q01959,1,11
DB00422,P31645,1,5
DB00425,P34903,1,6
DB00425,P14867,1,14
DB00431,P48167,1,0
DB00431,P23416,1,11
DB00431,P18505,1,6
DB00433,P14416,1,2
DB00434,P20309,1,8
DB00434,P11229,1,4
DB00434,P28223,1,1
DB00434,P28335,1,7
DB00434,P08172,1,9
DB00437,P47989,1,3
DB00439,P04035,1,8
DB00440,P04818,1,11
DB00440,P00374,1,5
DB00441,P04818,1,11
DB00441,P23921,1,10
DB00441,P30085,1,0
DB00444,P11388,1,13
DB00446,P08174,1,0
DB00449,P08913,1,5
DB00449,P35348,1,12
DB00449,P07550,1,10
DB00449,P06276,1,8
DB00450,P35348,1,12
DB00450,P14416,1,2
DB00454,Q05586,1,0
DB00454,O15399,1,6
DB00454,Q13224,1,8
DB00454,Q14957,1,5
DB00454,P41145,1,8
DB00457,Q12809,1,3
DB00457,P35348,1,12
DB00457,P35368,1,15
DB00457,P25100,1,3
DB00458,P20309,1,8
DB00458,P11229,1,4
DB00458,P08912,1,2
DB00458,P08173,1,13
DB00458,P28223,1,1
DB00458,P23975,1,13
DB00458,P35348,1,12
DB00458,P08172,1,9
DB00458,P25100,1,3
DB00458,P31645,1,5
DB00458,Q9NZV8,1,8
DB00458,Q9UK17,1,8
DB00459,P28702,1,0
DB00459,P13631,1,5
DB00459,P10826,1,0
DB00459,P09455,1,8
DB00459,P19793,1,5
DB00459,P10276,1,8
DB00459,P48443,1,3
DB00461,P23219,1,6
DB00461,P35354,1,11
DB00465,P23219,1,6
DB00465,P35354,1,11
DB00471,P09917,1,0
DB00472,P31645,1,5
DB00474,P14867,1,14
DB00475,P24046,1,0
DB00475,P48169,1,13
DB00475,P34903,1,6
DB00475,P14867,1,14
DB00475,P18505,1,6
DB00475,P28472,1,6
DB00475,P47870,1,5
DB00475,P18507,1,5
DB00475,Q8N1C3,1,5
DB00475,Q99928,1,0
DB00475,P28476,1,11
DB00475,O14764,1,0
DB00476,P23975,1,13
DB00476,Q01959,1,11
DB00476,P31645,1,5
DB00477,P21728,1,10
DB00477,P08908,1,10
DB00477,P28223,1,1
DB00477,P35348,1,12
DB00477,P35368,1,15
DB00477,P14416,1,2
DB00480,P35354,1,11
DB00480,P33151,1,0
DB00480,O14788,1,5
DB00481,P03372,1,13
DB00481,Q92731,1,3
DB00482,P35354,1,11
DB00482,O15530,1,5
DB00484,P08913,1,5
DB00484,P18825,1,11
DB00484,P18089,1,5
DB00486,P21554,1,8
DB00486,P34972,1,2
DB00489,Q12809,1,3
DB00489,P08588,1,3
DB00489,P07550,1,10
DB00490,P08908,1,10
DB00490,P14416,1,2
DB00491,O43451,1,5
DB00491,P10253,1,5
DB00492,P12821,1,10
DB00494,P21964,1,0
DB00496,P20309,1,8
DB00496,P11229,1,4
DB00496,P08912,1,2
DB00496,P08173,1,13
DB00496,P08172,1,9
DB00497,P41143,1,10
DB00497,P41145,1,8
DB00497,P35372,1,11
DB00499,P10275,1,3
DB00499,P35869,1,1
DB00500,P23219,1,6
DB00500,P35354,1,11
DB00501,P25021,1,12
DB00502,P21728,1,10
DB00502,Q13224,1,8
DB00502,P28223,1,1
DB00502,P35462,1,10
DB00502,P14416,1,2
DB00518,Q71U36,1,8
DB00518,P68371,1,10
DB00519,P12821,1,10
DB00521,P08588,1,3
DB00521,P07550,1,10
DB00524,P55017,1,13
DB00530,P00533,1,0
DB00530,O75469,1,6
DB00532,Q14524,1,13
DB00533,P35354,1,11
DB00533,P15502,1,8
DB00535,P05164,1,5
DB00537,P11388,1,13
DB00539,P03372,1,13
DB00540,P20309,1,8
DB00540,P11229,1,4
DB00540,P08912,1,2
DB00540,P08908,1,10
DB00540,P08173,1,13
DB00540,P28223,1,1
DB00540,P23975,1,13
DB00540,P35348,1,12
DB00540,P08172,1,9
DB00540,P25100,1,3
DB00540,P31645,1,5
DB00541,P07437,1,10
DB00541,P68366,1,0
DB00542,P12821,1,13
DB00543,P21728,1,10
DB00543,P11229,1,4
DB00543,P08913,1,5
DB00543,P23975,1,13
DB00543,P35348,1,12
DB00543,P31645,1,5
DB00543,P14416,1,2
DB00543,P14867,1,14
DB00547,P04150,1,10
DB00548,P14679,1,0
DB00550,P07202,1,0
DB00554,P23219,1,6
DB00554,P35354,1,11
DB00555,Q99250,1,0
DB00559,P24530,1,0
DB00559,P25101,1,11
DB00561,O14649,1,8
DB00561,Q9NPC2,1,8
DB00563,P00374,1,5
DB00564,Q14524,1,13
DB00571,P08588,1,3
DB00571,P08908,1,10
DB00571,P07550,1,10
DB00571,P28222,1,13
DB00571,P13945,1,10
DB00572,P20309,1,8
DB00572,P11229,1,4
DB00572,P08912,1,2
DB00572,P08173,1,13
DB00572,P08172,1,9
DB00573,P23219,1,6
DB00573,P35354,1,11
DB00575,P08913,1,5
DB00575,P18825,1,11
DB00575,P18089,1,5
DB00580,P35354,1,11
DB00585,P25021,1,12
DB00586,P23219,1,6
DB00586,P09917,1,0
DB00586,P35354,1,11
DB00586,P78348,1,10
DB00586,O43526,1,13
DB00586,P14555,1,10
DB00586,P35499,1,13
DB00586,O43525,1,8
DB00590,Q12809,1,3
DB00590,P35348,1,12
DB00590,P35368,1,15
DB00590,P25100,1,3
DB00591,P04150,1,10
DB00593,O43497,1,3
DB00594,P51168,1,3
DB00594,P37088,1,11
DB00594,P19801,1,11
DB00594,P78348,1,13
DB00594,P51172,1,13
DB00594,P51170,1,13
DB00594,Q16515,1,8
DB00594,P19634,1,3
DB00594,P00749,1,11
DB00598,P08588,1,3
DB00598,P35348,1,12
DB00598,P35368,1,15
DB00598,P07550,1,10
DB00602,P28472,1,6
DB00603,P03372,1,13
DB00603,P06401,1,5
DB00605,P23219,1,6
DB00605,P35354,1,11
DB00605,P15121,1,8
DB00605,Q03181,1,3
DB00605,P27361,1,13
DB00608,P01375,1,10
DB00608,Q9NR96,1,5
DB00608,P09210,1,13
DB00611,P41143,1,10
DB00611,P41145,1,8
DB00611,P35372,1,11
DB00612,P08588,1,3
DB00612,P07550,1,10
DB00615,P07900,1,2
DB00615,P14625,1,11
DB00619,P00519,1,11
DB00619,P09619,1,8
DB00619,P10721,1,10
DB00619,P16234,1,0
DB00619,P07333,1,0
DB00619,P04629,1,8
DB00619,P07949,1,6
DB00619,Q08345,1,11
DB00619,P07949,1,6
DB00620,P04150,1,10
DB00621,P10275,1,3
DB00622,P20309,1,8
DB00622,P11229,1,4
DB00622,P08912,1,2
DB00622,P08173,1,13
DB00622,P62158,1,8
DB00622,Q13936,1,3
DB00622,P35348,1,12
DB00622,P08172,1,9
DB00622,P35368,1,15
DB00622,P25100,1,3
DB00622,Q08289,1,5
DB00622,Q01668,1,8
DB00622,P54750,1,10
DB00623,P21728,1,10
DB00623,P62158,1,8
DB00623,P14416,1,2
DB00624,P10275,1,3
DB00630,P14324,1,8
DB00630,P29074,1,13
DB00630,Q13332,1,6
DB00630,P23469,1,3
DB00630,P38606,1,3
DB00631,P23921,1,10
DB00631,P09884,1,1
DB00633,P08913,1,5
DB00635,P04150,1,10
DB00640,P30542,1,0
DB00640,P29275,1,5
DB00640,P29274,1,4
DB00641,P04035,1,8
DB00641,P05107,1,0
DB00642,P04818,1,11
DB00642,P00374,1,5
DB00642,P22102,1,0
DB00642,P31939,1,11
DB00648,P10109,1,8
DB00648,P15538,1,8
DB00650,P04818,1,11
DB00651,P30542,1,0
DB00651,Q07343,1,3
DB00651,P29274,1,4
DB00651,P27815,1,11
DB00651,Q08499,1,8
DB00652,Q99720,1,6
DB00652,P41145,1,8
DB00652,P35372,1,11
DB00654,P43088,1,8
DB00656,P08913,1,5
DB00656,P08908,1,10
DB00656,P28223,1,1
DB00656,P35348,1,12
DB00656,P28335,1,7
DB00656,P31645,1,5
DB00657,Q15822,1,0
DB00659,Q8TCU5,1,6
DB00659,Q13255,1,10
DB00659,Q14416,1,11
DB00659,P41594,1,3
DB00659,Q14832,1,6
DB00661,Q12809,1,3
DB00661,Q14524,1,13
DB00661,O00555,1,13
DB00661,Q13936,1,3
DB00661,O43497,1,3
DB00661,Q14654,1,0
DB00661,P31645,1,5
DB00661,Q00975,1,5
DB00661,Q08289,1,5
DB00661,Q13698,1,13
DB00661,O00305,1,13
DB00661,O60840,1,13
DB00661,P54284,1,13
DB00661,Q01668,1,8
DB00665,P10275,1,3
DB00668,P08588,1,3
DB00668,P08913,1,5
DB00668,P35348,1,12
DB00668,P18089,1,5
DB00668,P35368,1,15
DB00668,P07550,1,10
DB00668,P25100,1,3
DB00669,P08908,1,10
DB00669,P30939,1,10
DB00669,P28221,1,10
DB00669,P28222,1,13
DB00672,Q09428,1,10
DB00673,P25103,1,10
DB00674,P22303,1,8
DB00674,Q15822,1,0
DB00674,P43681,1,6
DB00674,P17787,1,0
DB00674,P06276,1,8
DB00674,P36544,1,4
DB00674,P30926,1,10
DB00674,P32297,1,0
DB00674,P30532,1,8
DB00674,P02708,1,0
DB00674,P11230,1,11
DB00674,Q07001,1,11
DB00674,P07510,1,11
DB00674,Q04844,1,5
DB00675,P03372,1,13
DB00675,Q92731,1,3
DB00678,P30556,1,10
DB00679,P21728,1,10
DB00679,Q12809,1,3
DB00679,P28223,1,1
DB00679,P35348,1,12
DB00679,P35368,1,15
DB00679,P14416,1,2
DB00680,Q14524,1,13
DB00683,P24046,1,0
DB00683,P48169,1,13
DB00683,P34903,1,6
DB00683,P14867,1,14
DB00683,P18505,1,6
DB00683,P28472,1,6
DB00683,P47870,1,5
DB00683,P18507,1,5
DB00683,Q8N1C3,1,5
DB00683,Q99928,1,0
DB00683,P28476,1,11
DB00683,O14764,1,0
DB00685,P11388,1,13
DB00687,P10275,1,3
DB00687,P08235,1,8
DB00687,P04150,1,10
DB00690,P24046,1,0
DB00690,P48169,1,13
DB00690,P34903,1,6
DB00690,P14867,1,14
DB00690,P18505,1,6
DB00690,P28472,1,6
DB00690,P47870,1,5
DB00690,P18507,1,5
DB00690,Q8N1C3,1,5
DB00690,Q99928,1,0
DB00690,P28476,1,11
DB00690,O14764,1,0
DB00691,P12821,1,8
DB00691,Q9BYF1,1,8
DB00692,P08913,1,5
DB00692,P35348,1,12
DB00694,P11388,1,13
DB00694,Q02880,1,0
DB00695,P00918,1,2
DB00695,Q13621,1,11
DB00696,P08913,1,5
DB00696,P28223,1,1
DB00696,P23975,1,13
DB00696,P35348,1,12
DB00696,P18089,1,5
DB00696,P35368,1,15
DB00696,P28221,1,10
DB00696,P25100,1,3
DB00696,P14416,1,2
DB00696,P28222,1,13
DB00697,P08913,1,5
DB00697,P18825,1,11
DB00697,P18089,1,5
DB00697,Q9Y2I1,1,13
DB00700,P08235,1,8
DB00703,P00918,1,2
DB00703,P22748,1,11
DB00704,P41143,1,10
DB00704,P41145,1,8
DB00704,P35372,1,11
DB00706,P35348,1,12
DB00706,P35368,1,15
DB00706,P25100,1,3
DB00708,P41143,1,10
DB00708,P41145,1,8
DB00708,P35372,1,11
DB00712,P23219,1,6
DB00712,P35354,1,11
DB00714,P21728,1,10
DB00714,P21918,1,8
DB00714,P08913,1,5
DB00714,P08908,1,10
DB00714,P18825,1,11
DB00714,P21917,1,10
DB00714,P41595,1,13
DB00714,P28223,1,1
DB00714,P28335,1,7
DB00714,P18089,1,5
DB00714,P35462,1,10
DB00714,P28221,1,10
DB00714,Q9NYX4,1,13
DB00714,P14416,1,2
DB00714,P28222,1,13
DB00715,P20309,1,8
DB00715,P11229,1,4
DB00715,P08912,1,2
DB00715,P08173,1,13
DB00715,P28223,1,1
DB00715,P23975,1,13
DB00715,P08172,1,9
DB00715,P31645,1,5
DB00721,Q9Y5Y9,1,11
DB00721,P46098,1,8
DB00721,Q8TCU5,1,6
DB00721,Q01959,1,11
DB00721,Q15822,1,0
DB00724,Q9NYK1,1,0
DB00724,Q9NR97,1,6
DB00727,P16066,1,5
DB00728,P46098,1,8
DB00728,P08172,1,9
DB00728,Q15822,1,0
DB00731,Q09428,1,10
DB00731,P37231,1,8
DB00732,Q15822,1,0
DB00733,P22303,1,8
DB00733,P06276,1,8
DB00734,P21728,1,10
DB00734,P08913,1,5
DB00734,P08908,1,10
DB00734,P18825,1,11
DB00734,P21917,1,10
DB00734,P28223,1,1
DB00734,P35348,1,12
DB00734,P28335,1,7
DB00734,P18089,1,5
DB00734,P35368,1,15
DB00734,P35462,1,10
DB00734,P28221,1,10
DB00734,P14416,1,2
DB00740,Q9UPY5,1,13
DB00740,Q14524,1,13
DB00745,P35368,1,15
DB00745,Q01959,1,11
DB00749,P23219,1,6
DB00749,P35354,1,11
DB00749,P19793,1,5
DB00750,Q14524,1,13
DB00751,P25021,1,12
DB00751,P08913,1,5
DB00751,P28223,1,1
DB00751,P35348,1,12
DB00751,P34969,1,13
DB00753,P62158,1,8
DB00753,P42261,1,8
DB00753,Q09470,1,13
DB00753,P14867,1,14
DB00754,Q14524,1,13
DB00756,P09622,1,10
DB00756,P00367,1,0
DB00756,P09622,1,10
DB00757,P46098,1,8
DB00758,Q9H244,1,10
DB00759,P04156,1,0
DB00762,P11387,1,11
DB00763,P07202,1,0
DB00768,Q99584,1,8
DB00768,P23297,1,8
DB00768,P04271,1,0
DB00768,P80511,1,0
DB00768,P29034,1,13
DB00772,P06276,1,0
DB00773,P11388,1,13
DB00776,Q14524,1,13
DB00780,P80404,1,11
DB00780,Q16853,1,6
DB00780,P27338,1,0
DB00780,P21397,1,6
DB00782,P11229,1,4
DB00783,P03372,1,13
DB00783,Q92731,1,3
DB00783,O75469,1,6
DB00784,P23219,1,6
DB00784,P35354,1,11
DB00788,P23219,1,6
DB00788,P35354,1,11
DB00790,P12821,1,10
DB00794,P48169,1,13
DB00794,P34903,1,6
DB00794,P14867,1,14
DB00794,Q13002,1,0
DB00794,P42262,1,0
DB00794,P43681,1,6
DB00794,P36544,1,4
DB00795,P23219,1,6
DB00795,Q9UPY5,1,13
DB00795,P37231,1,8
DB00795,P09917,1,0
DB00795,P35354,1,11
DB00795,O14920,1,8
DB00795,O15111,1,8
DB00796,P30556,1,10
DB00799,P28702,1,0
DB00799,P13631,1,5
DB00799,P10826,1,5
DB00799,P10276,1,8
DB00800,P21728,1,10
DB00800,P21918,1,8
DB00800,P08913,1,5
DB00800,P18825,1,11
