drug_id,target_id,interaction,drug_name,target_name
DB00829,O00591,1,DB00829,O00591
DB00829,O14764,1,DB00829,O14764
DB00829,Q9UN88,1,DB00829,Q9UN88
DB00829,P47870,1,DB00829,P47870
DB00829,P47869,1,DB00829,P47869
DB00829,P33260,1,DB00829,P33260
DB00829,P33261,1,DB00829,P33261
DB00829,P08684,1,DB00829,P08684
DB00829,P05181,1,DB00829,P05181
DB00829,P31644,1,DB00829,P31644
DB00829,P28476,1,DB00829,P28476
DB00829,P28472,1,DB00829,P28472
DB00829,P24462,1,DB00829,P24462
DB00829,P24046,1,DB00829,P24046
DB00829,A8MPY1,1,DB00829,A8MPY1
DB00829,Q8N1C3,1,DB00829,Q8N1C3
DB00829,P10632,1,DB00829,P10632
DB00833,Q16348,1,DB00833,Q16348
DB00833,P46059,1,DB00833,P46059
DB00833,P05164,1,DB00833,P05164
DB00834,P04150,1,DB00834,P04150
DB00834,P06241,1,DB00834,P06241
DB00834,P03372,1,DB00834,P03372
DB00834,P06401,1,DB00834,P06401
DB00834,P35372,1,DB00834,P35372
DB00834,P33527,1,DB00834,P33527
DB00834,P41145,1,DB00834,P41145
DB00834,Q92731,1,DB00834,Q92731
DB00834,P20815,1,DB00834,P20815
DB00834,P18089,1,DB00834,P18089
DB00834,P08684,1,DB00834,P08684
DB00834,P08235,1,DB00834,P08235
DB00834,P24462,1,DB00834,P24462
DB00834,Q16539,1,DB00834,Q16539
DB00834,O75469,1,DB00834,O75469
DB00834,P10275,1,DB00834,P10275
DB00834,Q99720,1,DB00834,Q99720
DB00831,P21917,1,DB00831,P21917
DB00831,P08913,1,DB00831,P08913
DB00831,Q12809,1,DB00831,Q12809
DB00831,P50406,1,DB00831,P50406
DB00831,P08908,1,DB00831,P08908
DB00831,Q9NY46,1,DB00831,Q9NY46
DB00831,P22310,1,DB00831,P22310
DB00831,Q15125,1,DB00831,Q15125
DB00831,P28223,1,DB00831,P28223
DB00831,P35367,1,DB00831,P35367
DB00831,P14416,1,DB00831,P14416
DB00831,P35348,1,DB00831,P35348
DB00831,P18825,1,DB00831,P18825
DB00831,P08183,1,DB00831,P08183
DB00831,Q9BY08,1,DB00831,Q9BY08
DB00831,P28335,1,DB00831,P28335
DB00831,P35498,1,DB00831,P35498
DB00831,P18089,1,DB00831,P18089
DB00831,P35462,1,DB00831,P35462
DB00831,P34969,1,DB00831,P34969
DB00831,P20309,1,DB00831,P20309
DB00831,P78527,1,DB00831,P78527
DB00831,Q99250,1,DB00831,Q99250
DB00831,P47989,1,DB00831,P47989
DB00831,Q9NYX4,1,DB00831,Q9NYX4
DB00831,Q99720,1,DB00831,Q99720
DB00838,P04150,1,DB00838,P04150
DB00836,Q12879,1,DB00836,Q12879
DB00836,P25021,1,DB00836,P25021
DB00836,Q9NY46,1,DB00836,Q9NY46
DB00836,Q14957,1,DB00836,Q14957
DB00836,P25100,1,DB00836,P25100
DB00836,P35367,1,DB00836,P35367
DB00836,P35372,1,DB00836,P35372
DB00836,P35346,1,DB00836,P35346
DB00836,P41595,1,DB00836,P41595
DB00836,Q13224,1,DB00836,Q13224
DB00836,P41145,1,DB00836,P41145
DB00836,P41143,1,DB00836,P41143
DB00836,P20813,1,DB00836,P20813
DB00836,P35498,1,DB00836,P35498
DB00836,O00555,1,DB00836,O00555
DB00836,P35462,1,DB00836,P35462
DB00836,O15245,1,DB00836,O15245
DB00836,Q99250,1,DB00836,Q99250
DB00836,P07550,1,DB00836,P07550
DB00836,P31645,1,DB00836,P31645
DB00836,Q06278,1,DB00836,Q06278
DB00836,Q99720,1,DB00836,Q99720
DB00836,O15399,1,DB00836,O15399
DB00836,Q02763,1,DB00836,Q02763
DB00836,P10635,1,DB00836,P10635
DB00836,P10632,1,DB00836,P10632
DB00839,Q14654,1,DB00839,Q14654
DB00839,Q09428,1,DB00839,Q09428
DB00839,P48048,1,DB00839,P48048
DB05294,P37023,1,DB05294,P37023
DB05294,Q12851,1,DB05294,Q12851
DB05294,O14578,1,DB05294,O14578
DB05294,Q12866,1,DB05294,Q12866
DB05294,Q9BUB5,1,DB05294,Q9BUB5
DB05294,P57058,1,DB05294,P57058
DB05294,Q9NWZ3,1,DB05294,Q9NWZ3
DB05294,P57059,1,DB05294,P57059
DB05294,Q8NI60,1,DB05294,Q8NI60
DB05294,Q01740,1,DB05294,Q01740
DB05294,P57078,1,DB05294,P57078
DB05294,O14976,1,DB05294,O14976
DB05294,Q06187,1,DB05294,Q06187
DB05294,P15692,1,DB05294,P15692
DB05294,Q92918,1,DB05294,Q92918
DB05294,Q9Y5S2,1,DB05294,Q9Y5S2
DB05294,Q08345,1,DB05294,Q08345
DB05294,Q56UN5,1,DB05294,Q56UN5
DB05294,P36507,1,DB05294,P36507
DB05294,P00533,1,DB05294,P00533
DB05294,Q15569,1,DB05294,Q15569
DB05294,Q9Y6R4,1,DB05294,Q9Y6R4
DB05294,O75116,1,DB05294,O75116
DB05294,Q8N4C8,1,DB05294,Q8N4C8
DB05294,P02768,1,DB05294,P02768
DB05294,Q8WU08,1,DB05294,Q8WU08
DB05294,P02763,1,DB05294,P02763
DB05294,P09769,1,DB05294,P09769
DB05294,P29376,1,DB05294,P29376
DB05294,P12931,1,DB05294,P12931
DB05294,P06239,1,DB05294,P06239
DB05294,Q9H0K1,1,DB05294,Q9H0K1
DB05294,P06241,1,DB05294,P06241
DB05294,P21860,1,DB05294,P21860
DB05294,Q16816,1,DB05294,Q16816
DB05294,Q9BYT3,1,DB05294,Q9BYT3
DB05294,Q16832,1,DB05294,Q16832
DB05294,P00519,1,DB05294,P00519
DB05294,Q8IVH8,1,DB05294,Q8IVH8
DB05294,P16234,1,DB05294,P16234
DB05294,P51451,1,DB05294,P51451
DB05294,P30530,1,DB05294,P30530
DB05294,P08631,1,DB05294,P08631
DB05294,Q9UK32,1,DB05294,Q9UK32
DB05294,P17948,1,DB05294,P17948
DB05294,O00444,1,DB05294,O00444
DB05294,P04626,1,DB05294,P04626
DB05294,Q9UNQ0,1,DB05294,Q9UNQ0
DB05294,Q15418,1,DB05294,Q15418
DB05294,P22455,1,DB05294,P22455
DB05294,Q9UKE5,1,DB05294,Q9UKE5
DB05294,Q9H3Y6,1,DB05294,Q9H3Y6
DB05294,P15735,1,DB05294,P15735
DB05294,O15197,1,DB05294,O15197
DB05294,P11362,1,DB05294,P11362
DB05294,Q6DT37,1,DB05294,Q6DT37
DB05294,P08581,1,DB05294,P08581
DB05294,P33527,1,DB05294,P33527
DB05294,Q04771,1,DB05294,Q04771
DB05294,Q9H2G2,1,DB05294,Q9H2G2
DB05294,Q59H18,1,DB05294,Q59H18
DB05294,P09619,1,DB05294,P09619
DB05294,P31513,1,DB05294,P31513
DB05294,P21709,1,DB05294,P21709
DB05294,Q6PHR2,1,DB05294,Q6PHR2
DB05294,P50613,1,DB05294,P50613
DB05294,P49674,1,DB05294,P49674
DB05294,Q9Y4K4,1,DB05294,Q9Y4K4
DB05294,Q15303,1,DB05294,Q15303
DB05294,Q13131,1,DB05294,Q13131
DB05294,O94804,1,DB05294,O94804
DB05294,Q16659,1,DB05294,Q16659
DB05294,Q8TDR2,1,DB05294,Q8TDR2
DB05294,Q96D53,1,DB05294,Q96D53
DB05294,Q13163,1,DB05294,Q13163
DB05294,P23443,1,DB05294,P23443
DB05294,Q15375,1,DB05294,Q15375
DB05294,Q06418,1,DB05294,Q06418
DB05294,P41240,1,DB05294,P41240
DB05294,Q9UF33,1,DB05294,Q9UF33
DB05294,P07333,1,DB05294,P07333
DB05294,Q9HBH9,1,DB05294,Q9HBH9
DB05294,P21802,1,DB05294,P21802
DB05294,P54756,1,DB05294,P54756
DB05294,Q9UQB9,1,DB05294,Q9UQB9
DB05294,P54764,1,DB05294,P54764
DB05294,P54762,1,DB05294,P54762
DB05294,P54760,1,DB05294,P54760
DB05294,O00238,1,DB05294,O00238
DB05294,P10721,1,DB05294,P10721
DB05294,Q5VT25,1,DB05294,Q5VT25
DB05294,P29322,1,DB05294,P29322
DB05294,P29323,1,DB05294,P29323
DB05294,P29320,1,DB05294,P29320
DB05294,P29317,1,DB05294,P29317
DB05294,Q9UM73,1,DB05294,Q9UM73
DB05294,Q04912,1,DB05294,Q04912
DB05294,P35590,1,DB05294,P35590
DB05294,O43353,1,DB05294,O43353
DB05294,P07947,1,DB05294,P07947
DB05294,P07949,1,DB05294,P07949
DB05294,P07948,1,DB05294,P07948
DB05294,Q9Y2K2,1,DB05294,Q9Y2K2
DB05294,P51617,1,DB05294,P51617
DB05294,Q02763,1,DB05294,Q02763
DB05294,P36888,1,DB05294,P36888
DB05294,O95819,1,DB05294,O95819
DB05294,Q02750,1,DB05294,Q02750
DB05294,Q13882,1,DB05294,Q13882
DB05294,P35916,1,DB05294,P35916
DB05294,P42681,1,DB05294,P42681
DB05294,P42684,1,DB05294,P42684
DB05294,P42685,1,DB05294,P42685
DB05294,P22607,1,DB05294,P22607
DB05294,P35968,1,DB05294,P35968
DB05294,Q9NYL2,1,DB05294,Q9NYL2
DB06148,P21918,1,DB06148,P21918
DB06148,P21917,1,DB06148,P21917
DB06148,P08912,1,DB06148,P08912
DB06148,P08913,1,DB06148,P08913
DB06148,P25021,1,DB06148,P25021
DB06148,P50406,1,DB06148,P50406
DB06148,P08908,1,DB06148,P08908
DB06148,Q9NY46,1,DB06148,Q9NY46
DB06148,P11229,1,DB06148,P11229
DB06148,P46098,1,DB06148,P46098
DB06148,Q9H3N8,1,DB06148,Q9H3N8
DB06148,P28222,1,DB06148,P28222
DB06148,P28223,1,DB06148,P28223
DB06148,P28221,1,DB06148,P28221
DB06148,P25100,1,DB06148,P25100
DB06148,P35368,1,DB06148,P35368
DB06148,P35367,1,DB06148,P35367
DB06148,P14416,1,DB06148,P14416
DB06148,P35348,1,DB06148,P35348
DB06148,P18825,1,DB06148,P18825
DB06148,P30939,1,DB06148,P30939
DB06148,P08172,1,DB06148,P08172
DB06148,P08173,1,DB06148,P08173
DB06148,P41595,1,DB06148,P41595
DB06148,P41145,1,DB06148,P41145
DB06148,P28335,1,DB06148,P28335
DB06148,P20813,1,DB06148,P20813
DB06148,P21728,1,DB06148,P21728
DB06148,P35498,1,DB06148,P35498
DB06148,Q01959,1,DB06148,Q01959
DB06148,P18089,1,DB06148,P18089
DB06148,P35462,1,DB06148,P35462
DB06148,P34969,1,DB06148,P34969
DB06148,P20309,1,DB06148,P20309
DB06148,Q99250,1,DB06148,Q99250
DB06148,P31645,1,DB06148,P31645
DB06148,P23975,1,DB06148,P23975
DB00841,P21964,1,DB00841,P21964
DB00841,P23280,1,DB00841,P23280
DB00841,P00533,1,DB00841,P00533
DB00841,P35218,1,DB00841,P35218
DB00841,Q9Y2D0,1,DB00841,Q9Y2D0
DB00841,P22748,1,DB00841,P22748
DB00841,P06239,1,DB00841,P06239
DB00841,P06241,1,DB00841,P06241
DB00841,P25100,1,DB00841,P25100
DB00841,O43570,1,DB00841,O43570
DB00841,Q16790,1,DB00841,Q16790
DB00841,P08588,1,DB00841,P08588
DB00841,Q8N1Q1,1,DB00841,Q8N1Q1
DB00841,Q01959,1,DB00841,Q01959
DB00841,P18089,1,DB00841,P18089
DB00841,P35462,1,DB00841,P35462
DB00841,Q9ULX7,1,DB00841,Q9ULX7
DB00841,P07550,1,DB00841,P07550
DB00841,P31645,1,DB00841,P31645
DB00841,P00918,1,DB00841,P00918
DB00841,P00915,1,DB00841,P00915
DB00841,Q99720,1,DB00841,Q99720
DB00841,P43166,1,DB00841,P43166
DB00841,P07451,1,DB00841,P07451
DB00841,P23975,1,DB00841,P23975
DB00602,P48167,1,DB00602,P48167
DB00602,P08912,1,DB00602,P08912
DB00602,P08913,1,DB00602,P08913
DB00602,P36544,1,DB00602,P36544
DB00602,P11229,1,DB00602,P11229
DB00602,Q96RI1,1,DB00602,Q96RI1
DB00602,Q92887,1,DB00602,Q92887
DB00602,P0DMS8,1,DB00602,P0DMS8
DB00602,Q9UNQ0,1,DB00602,Q9UNQ0
DB00602,P18825,1,DB00602,P18825
DB00602,P08183,1,DB00602,P08183
DB00602,P33527,1,DB00602,P33527
DB00602,P21728,1,DB00602,P21728
DB00602,Q01959,1,DB00602,Q01959
DB00602,P23416,1,DB00602,P23416
DB00602,P23415,1,DB00602,P23415
DB00602,P35462,1,DB00602,P35462
DB00602,O75311,1,DB00602,O75311
DB00602,P20309,1,DB00602,P20309
DB00602,P28472,1,DB00602,P28472
DB00602,P23975,1,DB00602,P23975
DB00844,P35372,1,DB00844,P35372
DB00844,P41145,1,DB00844,P41145
DB00844,P41143,1,DB00844,P41143
DB00603,P03372,1,DB00603,P03372
DB00603,P06401,1,DB00603,P06401
DB00603,P11712,1,DB00603,P11712
DB00603,P10632,1,DB00603,P10632
DB00845,P08183,1,DB00845,P08183
DB00845,O95342,1,DB00845,O95342
DB00600,P23219,1,DB00600,P23219
DB00600,P35354,1,DB00600,P35354
DB00600,P14679,1,DB00600,P14679
DB00600,P23975,1,DB00600,P23975
DB00842,P54855,1,DB00842,P54855
DB00842,P48169,1,DB00842,P48169
DB00842,Q9HB55,1,DB00842,Q9HB55
DB00842,P78334,1,DB00842,P78334
DB00842,Q16445,1,DB00842,Q16445
DB00842,P34903,1,DB00842,P34903
DB00842,P16662,1,DB00842,P16662
DB00842,Q99928,1,DB00842,Q99928
DB00842,P14867,1,DB00842,P14867
DB00842,P20815,1,DB00842,P20815
DB00842,P18505,1,DB00842,P18505
DB00842,P18507,1,DB00842,P18507
DB00842,O00591,1,DB00842,O00591
DB00842,O60656,1,DB00842,O60656
DB00842,O14764,1,DB00842,O14764
DB00842,Q9UN88,1,DB00842,Q9UN88
DB00842,P47870,1,DB00842,P47870
DB00842,P47869,1,DB00842,P47869
DB00842,P31644,1,DB00842,P31644
DB00842,P28476,1,DB00842,P28476
DB00842,P28472,1,DB00842,P28472
DB00842,P24462,1,DB00842,P24462
DB00842,P24046,1,DB00842,P24046
DB00842,A8MPY1,1,DB00842,A8MPY1
DB00842,Q8N1C3,1,DB00842,Q8N1C3
DB00601,P27338,1,DB00601,P27338
DB00601,P21397,1,DB00601,P21397
DB00843,Q12809,1,DB00843,Q12809
DB00843,P06276,1,DB00843,P06276
DB00843,P22303,1,DB00843,P22303
DB00843,P27338,1,DB00843,P27338
DB00843,P28223,1,DB00843,P28223
DB00843,Q9Y5N1,1,DB00843,Q9Y5N1
DB00843,P08183,1,DB00843,P08183
DB00843,P31645,1,DB00843,P31645
DB00843,Q99720,1,DB00843,Q99720
DB00607,Q4U2R8,1,DB00607,Q4U2R8
DB00607,P05177,1,DB00607,P05177
DB00846,P04150,1,DB00846,P04150
DB00846,P08185,1,DB00846,P08185
DB00605,Q9Y5Y4,1,DB00605,Q9Y5Y4
DB00605,P02768,1,DB00605,P02768
DB00605,P23219,1,DB00605,P23219
DB00605,P27361,1,DB00605,P27361
DB00605,O14684,1,DB00605,O14684
DB00605,Q4U2R8,1,DB00605,Q4U2R8
DB00605,P35354,1,DB00605,P35354
DB00605,Q04760,1,DB00605,Q04760
DB00605,P04798,1,DB00605,P04798
DB00605,P23415,1,DB00605,P23415
DB00605,P05177,1,DB00605,P05177
DB00605,P19793,1,DB00605,P19793
DB00605,P08253,1,DB00605,P08253
DB00605,P15121,1,DB00605,P15121
DB00605,Q03181,1,DB00605,Q03181
DB00847,P49146,1,DB00847,P49146
DB00847,P05164,1,DB00847,P05164
DB06795,P23280,1,DB06795,P23280
DB06795,P35218,1,DB06795,P35218
DB06795,Q9Y2D0,1,DB06795,Q9Y2D0
DB06795,P22748,1,DB06795,P22748
DB06795,O43570,1,DB06795,O43570
DB06795,Q16790,1,DB06795,Q16790
DB06795,Q9ULX7,1,DB06795,Q9ULX7
DB06795,P00918,1,DB06795,P00918
DB06795,P00915,1,DB06795,P00915
DB06795,P43166,1,DB06795,P43166
DB06794,Q9HC97,1,DB06794,Q9HC97
DB06335,Q86TI2,1,DB06335,Q86TI2
DB06335,P08183,1,DB06335,P08183
DB06335,Q6V1X1,1,DB06335,Q6V1X1
DB06335,P33527,1,DB06335,P33527
DB06335,P27487,1,DB06335,P27487
DB06335,P08684,1,DB06335,P08684
DB06335,Q8TCC7,1,DB06335,Q8TCC7
DB06335,Q6ZQN7,1,DB06335,Q6ZQN7
DB05246,O43497,1,DB05246,O43497
DB05246,O95180,1,DB05246,O95180
DB05246,Q9P0X4,1,DB05246,Q9P0X4
DB05013,P05129,1,DB05013,P05129
DB05013,Q02156,1,DB05013,Q02156
DB05013,Q05655,1,DB05013,Q05655
DB05013,Q15139,1,DB05013,Q15139
DB05013,P05771,1,DB05013,P05771
DB05013,P17252,1,DB05013,P17252
DB06589,Q9NSY1,1,DB06589,Q9NSY1
DB06589,P16591,1,DB06589,P16591
DB06589,Q12851,1,DB06589,Q12851
DB06589,Q13705,1,DB06589,Q13705
DB06589,Q12866,1,DB06589,Q12866
DB06589,Q9UL54,1,DB06589,Q9UL54
DB06589,P57059,1,DB06589,P57059
DB06589,O14965,1,DB06589,O14965
DB06589,O14976,1,DB06589,O14976
DB06589,P08922,1,DB06589,P08922
DB06589,Q92918,1,DB06589,Q92918
DB06589,Q08345,1,DB06589,Q08345
DB06589,Q7L7X3,1,DB06589,Q7L7X3
DB06589,Q56UN5,1,DB06589,Q56UN5
DB06589,Q9Y6L6,1,DB06589,Q9Y6L6
DB06589,P09769,1,DB06589,P09769
DB06589,P29376,1,DB06589,P29376
DB06589,P12931,1,DB06589,P12931
DB06589,P06239,1,DB06589,P06239
DB06589,Q9H0K1,1,DB06589,Q9H0K1
DB06589,P06241,1,DB06589,P06241
DB06589,Q16832,1,DB06589,Q16832
DB06589,P22309,1,DB06589,P22309
DB06589,P00519,1,DB06589,P00519
DB06589,Q8IVH8,1,DB06589,Q8IVH8
DB06589,P16234,1,DB06589,P16234
DB06589,P52333,1,DB06589,P52333
DB06589,P53667,1,DB06589,P53667
DB06589,P53671,1,DB06589,P53671
DB06589,Q9UBE8,1,DB06589,Q9UBE8
DB06589,P51451,1,DB06589,P51451
DB06589,P37173,1,DB06589,P37173
DB06589,P08631,1,DB06589,P08631
DB06589,P17948,1,DB06589,P17948
DB06589,Q9NRP7,1,DB06589,Q9NRP7
DB06589,O00444,1,DB06589,O00444
DB06589,Q9UNQ0,1,DB06589,Q9UNQ0
DB06589,P21127,1,DB06589,P21127
DB06589,P22455,1,DB06589,P22455
DB06589,Q9UKE5,1,DB06589,Q9UKE5
DB06589,Q9H3Y6,1,DB06589,Q9H3Y6
DB06589,Q9Y616,1,DB06589,Q9Y616
DB06589,O15197,1,DB06589,O15197
DB06589,P11362,1,DB06589,P11362
DB06589,P33981,1,DB06589,P33981
DB06589,Q9UBF8,1,DB06589,Q9UBF8
DB06589,P08581,1,DB06589,P08581
DB06589,P45983,1,DB06589,P45983
DB06589,P45985,1,DB06589,P45985
DB06589,Q13233,1,DB06589,Q13233
DB06589,P53779,1,DB06589,P53779
DB06589,Q9H2G2,1,DB06589,Q9H2G2
DB06589,P27448,1,DB06589,P27448
DB06589,O60674,1,DB06589,O60674
DB06589,P15056,1,DB06589,P15056
DB06589,P09619,1,DB06589,P09619
DB06589,Q9H2K8,1,DB06589,Q9H2K8
DB06589,P05230,1,DB06589,P05230
DB06589,P51955,1,DB06589,P51955
DB06589,Q9Y4K4,1,DB06589,Q9Y4K4
DB06589,O94804,1,DB06589,O94804
DB06589,Q13163,1,DB06589,Q13163
DB06589,Q14012,1,DB06589,Q14012
DB06589,P29597,1,DB06589,P29597
DB06589,P07332,1,DB06589,P07332
DB06589,P07333,1,DB06589,P07333
DB06589,Q13546,1,DB06589,Q13546
DB06589,P43405,1,DB06589,P43405
DB06589,Q2M2I8,1,DB06589,Q2M2I8
DB06589,O75716,1,DB06589,O75716
DB06589,P21802,1,DB06589,P21802
DB06589,P52564,1,DB06589,P52564
DB06589,Q9UQB9,1,DB06589,Q9UQB9
DB06589,Q08881,1,DB06589,Q08881
DB06589,P19525,1,DB06589,P19525
DB06589,P04049,1,DB06589,P04049
DB06589,O00238,1,DB06589,O00238
DB06589,P10721,1,DB06589,P10721
DB06589,Q9Y2U5,1,DB06589,Q9Y2U5
DB06589,Q96NX5,1,DB06589,Q96NX5
DB06589,Q9UM73,1,DB06589,Q9UM73
DB06589,Q8TBX8,1,DB06589,Q8TBX8
DB06589,Q9UQ88,1,DB06589,Q9UQ88
DB06589,Q00536,1,DB06589,Q00536
DB06589,P80192,1,DB06589,P80192
DB06589,P35590,1,DB06589,P35590
